,notes
359,"[[11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 10, 9, 7, 5, 1], [12, 11, 9, 7, 5, 3, 1]]"
360,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
361,"[[9, 9, 7, 5, 3, 1], [9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1]]"
362,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1]]"
363,"[[9, 7, 5, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
364,"[[12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
365,"[[11, 9, 8, 7, 5, 4, 3, 1, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1]]"
366,"[[12, 11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1]]"
367,"[[11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 5, 4, 1], [11, 9, 5, 4, 1], [11, 9, 7, 5, 4, 1]]"
368,"[[12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 3, 2, 1]]"
369,"[[9, 8, 7, 5, 3, 1, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
370,"[[12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1]]"
371,"[[9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
372,"[[12, 11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 5, 1]]"
373,"[[10, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 3, 1], [11, 9, 8, 7, 6, 5, 5, 1], [9, 8, 7, 6, 5, 3, 1, 1], [11, 9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
374,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1]]"
375,"[[12, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1]]"
376,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1, 1], [12, 11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1]]"
377,"[[12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1]]"
378,"[[9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1]]"
379,"[[10, 9, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1]]"
380,"[[11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
381,"[[10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 5, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [10, 9, 8, 7, 5, 3, 1, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
382,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1]]"
383,"[[9, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 1], [9, 7, 5, 4, 1], [9, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 1]]"
384,"[[11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1]]"
385,"[[12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 2, 1]]"
386,"[[12, 11, 9, 9, 5, 4, 3, 1], [11, 9, 8, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 1]]"
387,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 3, 1], [9, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1]]"
388,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 3, 1]]"
389,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 1]]"
390,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1]]"
391,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1]]"
392,"[[12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 1], [9, 8, 7, 5, 3, 1], [10, 9, 8, 7, 5, 3, 1]]"
393,"[[11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1]]"
394,"[[12, 11, 9, 5, 4, 3, 1], [12, 11, 10, 9, 5, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 2, 1]]"
395,"[[12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
396,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 1], [12, 11, 9, 7, 5, 4, 1]]"
397,"[[12, 11, 9, 5, 1], [12, 11, 9, 1], [12, 11, 9, 1], [12, 11, 9, 5, 1], [12, 11, 9, 5, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 7, 5, 3, 1]]"
398,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1]]"
399,"[[9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1]]"
400,"[[9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 1], [9, 8, 7, 5, 4, 3, 2, 1]]"
401,"[[9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1]]"
402,"[[12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
403,"[[11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1], [11, 9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [10, 9, 7, 6, 5, 4, 1], [10, 9, 8, 7, 6, 5, 4, 1], [9, 8, 7, 6, 5, 4, 3, 1]]"
404,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [11, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1]]"
405,"[[9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 10, 9, 7, 6, 5, 4, 3, 2, 1]]"
406,"[[12, 11, 9, 8, 7, 6, 5, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 10, 9, 5, 5, 4, 3, 1], [11, 10, 9, 5, 3, 1]]"
407,"[[9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 6, 5, 4, 1], [12, 11, 10, 9, 7, 6, 5, 4, 1]]"
408,"[[9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 4, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1]]"
409,"[[12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 3, 2, 1], [12, 11, 9, 7, 6, 5, 3, 2, 1], [12, 11, 9, 7, 5, 3, 2, 1], [11, 9, 8, 7, 5, 3, 2, 1], [11, 9, 7, 5, 3, 2, 1], [9, 7, 5, 3, 2, 1]]"
410,"[[9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [10, 9, 8, 7, 6, 5, 4, 3, 1], [10, 9, 8, 7, 5, 3, 1]]"
411,"[[12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 7, 5, 3, 2, 1], [9, 5, 3, 2, 1]]"
412,"[[9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1, 1], [10, 9, 8, 7, 5, 4, 3, 1], [10, 9, 5, 4, 3, 1]]"
413,"[[9, 9, 7, 5, 4, 3, 1], [10, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [11, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [12, 11, 9, 5, 3, 1]]"
414,"[[9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
415,"[[10, 9, 8, 7, 6, 5, 3, 2, 1], [9, 8, 7, 6, 5, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [10, 9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 1], [9, 7, 5, 1], [9, 8, 7, 5, 1]]"
416,"[[9, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 9, 7, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [11, 9, 7, 5, 4, 3, 1, 1]]"
417,"[[12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1, 1], [9, 5, 4, 3, 1]]"
418,"[[11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 1], [9, 7, 6, 5, 4, 1], [9, 7, 5, 4, 1], [9, 7, 6, 5, 4, 1], [9, 7, 6, 5, 4, 1], [9, 7, 5, 4, 1], [9, 7, 5, 1]]"
419,"[[12, 9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
420,"[[9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 7, 6, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1]]"
421,"[[10, 9, 7, 6, 5, 4, 3, 2, 1], [9, 7, 6, 5, 4, 3, 1], [9, 7, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 1]]"
422,"[[9, 5, 4, 3, 1], [9, 5, 4, 3, 1], [9, 5, 4, 1], [9, 5, 4, 3, 1], [11, 9, 5, 4, 3, 1], [11, 10, 9, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 3, 2, 1]]"
423,"[[9, 7, 5, 4, 3, 2, 1], [9, 7, 5, 4, 3, 2, 1], [9, 8, 7, 6, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 10, 9, 8, 7, 5, 4, 1]]"
424,"[[11, 9, 8, 7, 5, 3, 1], [11, 9, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 3, 2, 1]]"
425,"[[11, 10, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 5, 4, 3, 1], [11, 9, 8, 7, 6, 5, 4, 3, 1], [11, 10, 9, 7, 6, 5, 4, 3, 1], [12, 11, 10, 9, 7, 5, 4, 3, 1]]"
426,"[[9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 5, 4, 3, 1], [9, 7, 5, 4, 3, 1], [10, 9, 7, 5, 4, 3, 2, 1], [10, 9, 5, 3, 2, 1], [11, 10, 9, 9, 5, 3, 2, 1]]"
427,"[[12, 11, 9, 7, 5, 3, 2, 1], [12, 11, 10, 9, 5, 3, 2, 1], [12, 11, 9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 3, 2, 1], [9, 5, 4, 3, 2, 1], [9, 5, 4, 3, 2, 1], [10, 9, 5, 4, 3, 2, 1]]"
428,"[[11, 9, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 5, 4, 3, 2, 1], [10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 2, 1], [12, 11, 10, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 2, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 6, 5, 4, 3, 1]]"
429,"[[10, 9, 8, 5, 4, 3, 1], [9, 9, 8, 7, 5, 4, 3, 1], [9, 7, 6, 5, 4, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 3, 1], [9, 8, 7, 6, 5, 4, 3, 1], [9, 8, 7, 5, 4, 3, 2, 1], [11, 9, 8, 7, 6, 5, 4, 3, 2, 1]]"
430,"[[12, 11, 9, 7, 6, 5, 4, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [11, 9, 8, 7, 5, 4, 3, 1], [11, 10, 9, 8, 7, 5, 3, 1], [12, 11, 10, 9, 8, 7, 5, 1, 1], [12, 11, 9, 8, 7, 5, 3, 1], [12, 11, 9, 8, 7, 5, 4, 3, 1], [12, 11, 9, 7, 5, 4, 3, 2, 1]]"
